Latitude (decimal degrees):	53.424
Longitude (decimal degrees):	-6.252
Elevation (m):	61
Radiation database:	PVGIS-SARAH3


Slope: 90 deg. 
Azimuth: 90 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230703:0411,0.0,0.0,0.0,0.0,11.19,4.69,0.0
20230703:0511,0.0,4.98,1.4,7.5,11.26,4.34,0.0
20230703:0611,0.0,22.78,6.4,15.7,11.51,3.59,0.0
20230703:0711,0.0,67.28,18.9,24.43,11.74,2.48,0.0
20230703:0811,0.0,91.85,25.8,33.36,11.92,3.1,0.0
20230703:0911,0.0,83.31,23.4,42.06,12.46,3.59,0.0
20230703:1011,0.0,95.77,26.9,49.97,12.96,4.28,0.0
20230703:1111,0.0,137.06,38.5,56.17,13.84,4.62,0.0
20230703:1211,0.0,40.94,11.5,59.36,15.03,4.97,0.0
20230703:1311,139.88,73.83,86.9,58.52,15.81,5.1,0.0
20230703:1411,104.05,221.57,59.8,53.95,16.51,5.17,0.0
20230703:1511,428.42,150.33,70.5,46.92,16.38,5.45,0.0
20230703:1611,88.81,178.71,37.2,38.6,16.37,5.93,0.0
20230703:1711,592.98,155.68,45.9,29.75,15.05,6.21,0.0
20230703:1811,262.88,153.85,25.1,20.86,14.38,4.97,0.0
20230703:1911,416.23,125.21,16.3,12.31,14.92,5.66,0.0
20230703:2011,215.98,53.16,4.5,4.41,14.1,5.66,0.0
20230703:2111,0.0,0.0,0.0,0.0,13.47,5.17,0.0
20230703:2211,0.0,0.0,0.0,0.0,12.91,5.03,0.0
20230703:2311,0.0,0.0,0.0,0.0,12.51,5.17,0.0
20230704:0011,0.0,0.0,0.0,0.0,12.08,5.03,0.0
20230704:0111,0.0,0.0,0.0,0.0,11.7,5.03,0.0
20230704:0211,0.0,0.0,0.0,0.0,11.45,5.03,0.0
20230704:0311,0.0,0.0,0.0,0.0,11.23,4.9,0.0
20230704:0411,0.0,0.0,0.0,0.0,11.01,4.76,0.0
20230704:0511,0.0,14.95,4.2,7.41,11.03,4.69,0.0
20230704:0611,0.0,25.99,7.3,15.61,11.49,4.41,0.0
20230704:0711,0.0,32.04,9.0,24.34,12.37,5.31,0.0
20230704:0811,0.0,38.09,10.7,33.27,13.41,5.45,0.0
20230704:0911,0.0,64.08,18.0,41.97,14.46,5.1,0.0
20230704:1011,0.0,78.68,22.1,49.88,15.4,4.62,0.0
20230704:1111,0.0,108.23,30.4,56.07,16.04,4.07,0.0
20230704:1211,0.0,151.66,42.6,59.27,16.35,3.45,0.0
20230704:1311,5.11,189.84,40.5,58.44,17.06,3.38,0.0
20230704:1411,9.81,176.07,36.8,53.89,16.22,2.97,0.0
20230704:1511,111.45,213.5,49.2,46.87,16.17,2.76,0.0
20230704:1611,46.27,157.4,32.4,38.56,15.73,2.62,0.0
20230704:1711,0.0,65.3,13.1,29.72,15.42,3.03,0.0
20230704:1811,0.0,14.95,3.0,20.83,14.87,2.9,0.0
20230704:1911,0.0,6.98,1.4,12.26,13.82,3.45,0.0
20230704:2011,21.85,14.6,2.4,4.37,13.29,4.14,0.0
20230704:2111,0.0,0.0,0.0,0.0,12.98,4.97,0.0
20230704:2211,0.0,0.0,0.0,0.0,12.71,4.97,0.0
20230704:2311,0.0,0.0,0.0,0.0,12.43,4.76,0.0
20230705:0011,0.0,0.0,0.0,0.0,12.1,4.62,0.0
20230705:0111,0.0,0.0,0.0,0.0,11.68,4.55,0.0
20230705:0211,0.0,0.0,0.0,0.0,11.28,4.34,0.0
20230705:0311,0.0,0.0,0.0,0.0,10.92,4.21,0.0
20230705:0411,0.0,0.0,0.0,0.0,10.64,4.0,0.0
20230705:0511,0.0,4.63,1.3,7.31,10.62,3.66,0.0
20230705:0611,0.0,20.29,5.7,15.51,11.26,3.38,0.0
20230705:0711,0.0,0.0,0.0,0.0,11.91,4.07,0.0
20230705:0811,0.0,81.17,22.8,33.17,12.87,4.28,0.0
20230705:0911,0.0,67.28,18.9,41.87,13.96,4.21,0.0
20230705:1011,0.0,69.06,19.4,49.78,14.91,4.21,0.0
20230705:1111,0.0,93.63,26.3,55.98,15.53,4.21,0.0
20230705:1211,0.0,134.21,37.7,59.18,16.32,4.41,0.0
20230705:1311,27.86,216.51,56.6,58.36,17.02,4.55,0.0
20230705:1411,292.38,125.79,79.0,53.83,17.26,4.41,0.0
20230705:1511,305.86,200.95,63.9,46.82,17.1,4.34,0.0
20230705:1611,56.08,162.8,33.6,38.52,16.93,4.48,0.0
20230705:1711,33.34,115.37,23.0,29.67,16.8,4.55,0.0
20230705:1811,274.53,154.47,25.2,20.78,16.85,4.34,0.0
20230705:1911,0.0,20.94,4.2,12.22,16.21,4.62,0.0
20230705:2011,0.0,1.99,0.4,4.31,15.65,4.41,0.0
20230705:2111,0.0,0.0,0.0,0.0,15.06,4.14,0.0
20230705:2211,0.0,0.0,0.0,0.0,14.66,3.86,0.0
20230705:2311,0.0,0.0,0.0,0.0,14.34,3.59,0.0
20230706:0011,0.0,0.0,0.0,0.0,14.04,3.59,0.0
20230706:0111,0.0,0.0,0.0,0.0,13.79,3.59,0.0
20230706:0211,0.0,0.0,0.0,0.0,13.62,4.0,0.0
20230706:0311,0.0,0.0,0.0,0.0,13.48,3.86,0.0
20230706:0411,0.0,0.0,0.0,0.0,13.35,3.66,0.0
20230706:0511,0.0,2.49,0.7,7.21,13.24,3.59,0.0
20230706:0611,0.0,11.04,3.1,15.41,13.47,3.59,0.0
20230706:0711,0.0,48.06,13.5,24.15,13.94,4.14,0.0
20230706:0811,0.0,82.24,23.1,33.07,14.88,5.03,0.0
20230706:0911,0.0,108.23,30.4,41.77,15.42,5.24,0.0
20230706:1011,0.0,89.71,25.2,49.68,15.87,6.0,0.0
20230706:1111,0.0,81.53,22.9,55.87,15.53,6.14,0.0
20230706:1211,0.0,61.59,17.3,59.08,15.29,6.55,0.0
20230706:1311,0.0,71.29,14.3,58.28,15.84,7.24,0.0
20230706:1411,0.0,108.17,21.7,53.76,15.73,8.83,0.0
20230706:1511,0.0,71.78,14.4,46.77,15.17,9.52,0.0
20230706:1611,0.0,39.88,8.0,38.47,14.92,9.24,0.0
20230706:1711,0.0,32.4,6.5,29.63,14.87,8.34,0.0
20230706:1811,0.0,26.92,5.4,20.73,15.57,7.52,0.0
20230706:1911,0.0,11.96,2.4,12.16,15.69,8.83,0.0
20230706:2011,0.0,2.49,0.5,4.25,15.98,8.48,0.0
20230706:2111,0.0,0.0,0.0,0.0,16.2,7.93,0.0
20230706:2211,0.0,0.0,0.0,0.0,16.36,7.38,0.0
20230706:2311,0.0,0.0,0.0,0.0,16.37,7.1,0.0
20230707:0011,0.0,0.0,0.0,0.0,16.44,6.97,0.0
20230707:0111,0.0,0.0,0.0,0.0,16.37,6.83,0.0
20230707:0211,0.0,0.0,0.0,0.0,16.28,6.62,0.0
20230707:0311,0.0,0.0,0.0,0.0,16.17,6.76,0.0
20230707:0411,0.0,0.0,0.0,0.0,16.14,6.69,0.0
20230707:0511,0.0,4.63,1.3,7.1,16.16,6.76,0.0
20230707:0611,0.0,6.41,1.8,15.31,16.32,6.69,0.0
20230707:0711,0.0,41.65,11.7,24.05,16.87,7.45,0.0
20230707:0811,0.0,67.28,18.9,32.97,17.14,7.72,0.0
20230707:0911,0.0,88.29,24.8,41.67,18.07,8.69,0.0
20230707:1011,0.0,129.23,36.3,49.57,18.77,8.83,0.0
20230707:1111,0.0,89.0,25.0,55.76,19.3,8.62,0.0
20230707:1211,0.0,113.92,32.0,58.97,19.38,7.72,0.0
20230707:1311,0.59,150.13,30.4,58.19,19.6,8.34,0.0
20230707:1411,10.3,173.68,36.4,53.68,19.62,7.86,0.0
20230707:1511,210.28,213.49,56.8,46.7,19.54,7.52,0.0
20230707:1611,102.69,179.78,37.7,38.41,19.6,7.17,0.0
20230707:1711,70.47,132.17,26.0,29.57,19.55,7.03,0.0
20230707:1811,406.52,158.73,27.6,20.68,19.14,5.38,0.0
20230707:1911,138.6,83.92,11.7,12.1,18.74,4.21,0.0
20230707:2011,0.0,1.99,0.4,4.19,18.07,4.83,0.0
20230707:2111,0.0,0.0,0.0,0.0,17.2,5.1,0.0
20230707:2211,0.0,0.0,0.0,0.0,17.0,5.45,0.0
20230707:2311,0.0,0.0,0.0,0.0,17.4,5.86,0.0
20230708:0011,0.0,0.0,0.0,0.0,17.83,6.55,0.0
20230708:0111,0.0,0.0,0.0,0.0,18.18,7.03,0.0
20230708:0211,0.0,0.0,0.0,0.0,18.2,7.38,0.0
20230708:0311,0.0,0.0,0.0,0.0,18.12,7.45,0.0
20230708:0411,0.0,0.0,0.0,0.0,17.84,7.52,0.0
20230708:0511,0.0,4.27,1.2,6.99,17.6,7.72,0.0
20230708:0611,0.0,20.29,5.7,15.2,17.61,8.34,0.0
20230708:0711,0.0,60.88,17.1,23.94,17.54,7.52,0.0
20230708:0811,0.0,89.36,25.1,32.86,17.55,7.79,0.0
20230708:0911,0.0,47.7,13.4,41.56,17.89,7.38,0.0
20230708:1011,0.0,74.05,20.8,49.46,18.18,6.34,0.0
20230708:1111,0.0,67.64,19.0,55.65,18.31,5.24,0.0
20230708:1211,0.0,69.06,19.4,58.86,18.75,4.83,0.0
20230708:1311,65.89,186.82,69.9,58.09,19.08,4.76,0.0
20230708:1411,194.39,189.32,69.9,53.6,19.44,4.76,0.0
20230708:1511,124.99,213.64,50.1,46.63,19.75,4.83,0.0
20230708:1611,105.31,182.54,38.2,38.35,19.77,5.1,0.0
20230708:1711,176.6,169.63,32.5,29.51,19.37,5.17,0.0
20230708:1811,481.19,157.27,29.1,20.62,18.87,5.17,0.0
20230708:1911,204.84,101.57,13.0,12.04,18.06,4.34,0.0
20230708:2011,0.0,3.49,0.7,4.11,17.23,4.07,0.0
20230708:2111,0.0,0.0,0.0,0.0,16.36,3.86,0.0
20230708:2211,0.0,0.0,0.0,0.0,15.61,3.59,0.0
20230708:2311,0.0,0.0,0.0,0.0,15.05,3.24,0.0
20230709:0011,0.0,0.0,0.0,0.0,14.64,2.97,0.0
20230709:0111,0.0,0.0,0.0,0.0,14.23,2.83,0.0
20230709:0211,0.0,0.0,0.0,0.0,13.89,2.69,0.0
20230709:0311,0.0,0.0,0.0,0.0,13.65,2.48,0.0
20230709:0411,0.0,0.0,0.0,0.0,13.45,2.62,0.0
20230709:0511,0.0,2.85,0.8,6.88,13.51,2.83,0.0
20230709:0611,0.0,19.22,5.4,15.09,14.32,3.03,0.0
20230709:0711,0.0,59.45,16.7,23.83,15.14,4.9,0.0
20230709:0811,0.0,79.75,22.4,32.75,15.82,5.24,0.0
20230709:0911,0.0,78.32,22.0,41.45,16.43,5.24,0.0
20230709:1011,0.0,128.87,36.2,49.34,16.95,5.31,0.0
20230709:1111,0.0,58.03,16.3,55.53,17.41,5.45,0.0
20230709:1211,0.0,144.54,40.6,58.74,17.5,5.72,0.0
20230709:1311,52.93,201.62,66.2,57.98,17.73,5.59,0.0
20230709:1411,54.03,215.16,50.9,53.51,18.33,5.03,0.0
20230709:1511,118.57,214.14,49.7,46.56,18.91,4.83,0.0
20230709:1611,67.47,167.77,34.7,38.28,18.87,4.83,0.0
20230709:1711,260.28,185.97,36.0,29.45,18.4,5.31,0.0
20230709:1811,538.2,151.82,30.1,20.55,17.14,4.62,0.0
20230709:1911,394.93,125.02,15.6,11.97,17.44,3.66,0.0
20230709:2011,178.24,42.35,3.8,4.04,16.74,3.86,0.0
20230709:2111,0.0,0.0,0.0,0.0,16.1,3.72,0.0
20230709:2211,0.0,0.0,0.0,0.0,15.43,3.93,0.0
20230709:2311,0.0,0.0,0.0,0.0,14.9,4.0,0.0
20230710:0011,0.0,0.0,0.0,0.0,14.57,3.93,0.0
20230710:0111,0.0,0.0,0.0,0.0,14.24,3.72,0.0
20230710:0211,0.0,0.0,0.0,0.0,14.11,3.59,0.0
20230710:0311,0.0,0.0,0.0,0.0,14.05,3.45,0.0
20230710:0411,0.0,0.0,0.0,0.0,14.01,3.1,0.0
20230710:0511,0.0,2.49,0.7,6.76,14.09,3.17,0.0
20230710:0611,0.0,14.6,4.1,14.97,14.46,3.52,0.0
20230710:0711,0.0,33.82,9.5,23.71,14.76,3.86,0.0
20230710:0811,0.0,17.44,4.9,32.63,15.1,4.21,0.0
20230710:0911,0.0,107.87,30.3,41.33,15.26,4.83,0.0
20230710:1011,0.0,80.81,22.7,49.22,15.34,5.17,0.0
20230710:1111,0.0,33.46,9.4,55.4,15.51,5.66,0.0
20230710:1211,0.0,61.94,17.4,58.62,15.98,5.1,0.0
20230710:1311,0.0,64.31,12.9,57.87,16.67,4.62,0.0
20230710:1411,0.0,82.25,16.5,53.41,17.4,3.31,0.0
20230710:1511,50.3,186.93,40.4,46.48,18.18,2.21,0.0
20230710:1611,27.05,139.68,28.6,38.21,18.42,3.24,0.0
20230710:1711,0.0,51.84,10.4,29.38,17.98,4.9,0.0
20230710:1811,224.1,142.58,23.3,20.48,17.36,4.9,0.0
20230710:1911,0.0,6.98,1.4,11.89,16.8,4.9,0.0
20230710:2011,0.0,3.99,0.8,3.95,16.3,4.07,0.0
20230710:2111,0.0,0.0,0.0,0.0,15.72,3.59,0.0
20230710:2211,0.0,0.0,0.0,0.0,15.28,3.17,0.0
20230710:2311,0.0,0.0,0.0,0.0,14.76,2.9,0.0
20230711:0011,0.0,0.0,0.0,0.0,14.42,2.69,0.0
20230711:0111,0.0,0.0,0.0,0.0,14.07,2.41,0.0
20230711:0211,0.0,0.0,0.0,0.0,13.67,2.28,0.0
20230711:0311,0.0,0.0,0.0,0.0,13.48,2.28,0.0
20230711:0411,0.0,0.0,0.0,0.0,13.3,2.41,0.0
20230711:0511,0.0,13.53,3.8,6.63,13.14,2.41,0.0
20230711:0611,0.0,36.67,10.3,14.85,13.61,2.76,0.0
20230711:0711,0.0,64.08,18.0,23.59,14.2,3.03,0.0
20230711:0811,0.0,70.84,19.9,32.51,14.65,2.83,0.0
20230711:0911,0.0,85.44,24.0,41.21,15.23,3.1,0.0
20230711:1011,0.0,104.31,29.3,49.09,16.26,3.24,0.0
20230711:1111,0.0,126.38,35.5,55.27,17.08,3.31,0.0
20230711:1211,0.0,50.55,14.2,58.49,18.01,3.38,0.0
20230711:1311,94.91,142.65,77.0,57.75,18.51,3.59,0.0
20230711:1411,0.0,93.22,18.7,53.31,18.65,3.52,0.0
20230711:1511,348.56,182.31,65.4,46.39,17.95,3.24,0.0
20230711:1611,215.63,205.31,45.3,38.13,18.08,3.1,0.0
20230711:1711,0.0,71.29,14.3,29.3,17.37,3.45,0.0
20230711:1811,230.42,144.77,23.5,20.4,16.76,3.79,0.0
20230711:1911,0.0,19.44,3.9,11.81,16.86,3.93,0.0
20230711:2011,0.0,3.99,0.8,3.86,16.23,4.21,0.0
20230711:2111,0.0,0.0,0.0,0.0,15.58,4.14,0.0
20230711:2211,0.0,0.0,0.0,0.0,15.08,4.14,0.0
20230711:2311,0.0,0.0,0.0,0.0,14.59,4.55,0.0
20230712:0011,0.0,0.0,0.0,0.0,14.14,5.17,0.0
20230712:0111,0.0,0.0,0.0,0.0,13.87,5.24,0.0
20230712:0211,0.0,0.0,0.0,0.0,13.83,5.17,0.0
20230712:0311,0.0,0.0,0.0,0.0,13.76,4.97,0.0
20230712:0411,0.0,0.0,0.0,0.0,13.71,4.9,0.0
20230712:0511,0.0,2.14,0.6,6.5,13.56,4.9,0.0
20230712:0611,0.0,38.09,10.7,14.72,13.71,4.48,0.0
20230712:0711,0.0,45.21,12.7,23.47,14.17,5.59,0.0
20230712:0811,0.0,54.82,15.4,32.39,14.67,6.28,0.0
20230712:0911,0.0,75.83,21.3,41.08,15.38,6.48,0.0
20230712:1011,0.0,129.94,36.5,48.96,15.87,6.48,0.0
20230712:1111,0.0,142.05,39.9,55.13,16.51,6.41,0.0
20230712:1211,0.0,110.01,30.9,58.35,17.41,6.0,0.0
20230712:1311,26.96,213.27,55.7,57.62,18.01,5.86,0.0
20230712:1411,44.33,208.63,48.2,53.2,18.43,5.93,0.0
20230712:1511,428.65,145.36,69.3,46.29,18.42,5.86,0.0
20230712:1611,270.51,208.08,48.0,38.04,18.03,5.45,0.0
20230712:1711,109.02,148.78,28.7,29.21,18.01,4.97,0.0
20230712:1811,236.87,146.05,23.6,20.31,17.64,4.48,0.0
20230712:1911,40.45,49.1,8.5,11.72,16.22,2.69,0.0
20230712:2011,0.0,1.5,0.3,3.76,15.59,2.55,0.0
20230712:2111,0.0,0.0,0.0,0.0,15.1,2.48,0.0
20230712:2211,0.0,0.0,0.0,0.0,14.64,2.55,0.0
20230712:2311,0.0,0.0,0.0,0.0,14.22,2.55,0.0
20230713:0011,0.0,0.0,0.0,0.0,13.79,2.48,0.0
20230713:0111,0.0,0.0,0.0,0.0,13.49,2.41,0.0
20230713:0211,0.0,0.0,0.0,0.0,13.13,2.34,0.0
20230713:0311,0.0,0.0,0.0,0.0,12.91,2.28,0.0
20230713:0411,0.0,0.0,0.0,0.0,12.6,2.28,0.0
20230713:0511,0.0,11.75,3.3,6.37,12.58,2.34,0.0
20230713:0611,0.0,37.38,10.5,14.6,13.06,2.41,0.0
20230713:0711,0.0,63.37,17.8,23.34,14.07,2.41,0.0
20230713:0811,0.0,89.0,25.0,32.26,14.74,2.9,0.0
20230713:0911,0.0,89.0,25.0,40.95,15.7,3.1,0.0
20230713:1011,0.0,109.29,30.7,48.82,16.33,2.97,0.0
20230713:1111,0.0,141.33,39.7,54.99,16.8,2.97,0.0
20230713:1211,0.0,145.96,41.0,58.21,17.38,3.31,0.0
20230713:1311,9.5,199.66,44.6,57.49,17.59,3.38,0.0
20230713:1411,21.21,191.49,41.5,53.09,17.61,3.66,0.0
20230713:1511,38.14,179.95,38.3,46.19,17.77,3.38,0.0
20230713:1611,0.0,82.75,16.6,37.95,17.91,3.24,0.0
20230713:1711,19.73,102.35,20.5,29.13,18.1,3.17,0.0
20230713:1811,64.21,93.85,17.2,20.22,17.38,3.38,0.0
20230713:1911,0.0,24.43,4.9,11.62,16.63,3.17,0.0
20230713:2011,0.0,1.5,0.3,3.66,16.39,3.17,0.0
20230713:2111,0.0,0.0,0.0,0.0,16.11,3.24,0.0
